3	512	24
4	1500	24
4	160	48
4	1500	32
2	64	48
1	64	48
4	64	48
5	160	24
3	160	24
3	512	48
5	1500	24
5	1500	32
3	1500	32
5	64	24
4	512	32
4	1500	48
5	1500	32
5	1500	48
4	512	32
4	1500	24
3	512	24
4	160	48
5	160	48
5	512	48
4	64	24
1	1500	32
1	512	32
2	160	48
1	1500	24
2	64	48
3	1500	32
1	64	32
2	160	32
2	160	48
1	64	24
5	160	32
3	1500	24
5	160	48
5	512	24
1	64	48
4	1500	48
4	160	32
2	160	48
5	160	32
1	160	48
5	160	32
4	160	48
1	64	32
4	64	48
4	512	48
4	64	32
5	1500	32
1	64	24
5	64	48
5	64	32
1	512	24
2	512	24
2	1500	24
3	512	48
4	160	24
3	1500	48
5	512	48
4	512	48
2	512	24
5	512	24
3	512	32
1	1500	24
5	1500	48
4	512	24
2	512	32
1	160	32
5	512	32
1	160	48
3	1500	48
2	64	24
3	160	48
4	64	48
2	64	24
5	64	24
3	160	48
5	512	24
1	64	32
2	1500	24
1	512	32
1	64	48
5	512	32
5	64	32
1	64	24
1	512	24
1	1500	48
4	64	24
1	1500	24
2	1500	48
4	512	24
2	512	48
1	160	32
2	1500	32
3	160	32
3	64	48
3	1500	24
4	1500	48
2	1500	48
5	1500	48
4	160	32
1	160	32
3	64	32
2	1500	32
2	160	24
1	1500	32
5	160	24
4	512	48
2	512	32
3	64	32
4	160	24
2	512	24
2	64	32
3	160	48
2	64	32
5	1500	24
4	512	32
5	512	32
3	512	48
4	64	32
3	160	24
5	160	48
1	512	48
5	64	24
5	64	48
3	64	48
2	1500	32
2	64	48
5	64	48
4	64	32
3	160	32
5	512	48
2	160	24
1	1500	48
4	512	24
2	160	32
2	1500	48
2	1500	24
1	512	48
5	1500	24
3	64	24
2	160	32
4	1500	32
2	160	24
4	1500	24
1	1500	32
3	64	24
2	64	32
3	512	24
3	512	32
2	512	48
4	160	32
4	1500	32
1	512	48
2	512	48
3	1500	24
5	64	32
3	1500	32
3	64	48
3	64	24
4	160	24
1	160	24
1	160	24
3	512	32
1	1500	48
1	160	24
2	64	24
3	64	32
3	1500	48
2	512	32
3	160	24
1	512	32
5	160	24
1	160	48
4	64	24
1	512	24
3	160	32
